Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
GCJ6.COMEX@RITHMIC,0.00,opening range high,#e2e2e2,#007171,left,,TRUE
GCJ6.COMEX@RITHMIC,0.00,opening range low,#e2e2e2,#007171,left,,TRUE
GCJ6.COMEX@RITHMIC,5084.00,midnight open,#e2e2e2,#007171,left,,TRUE
GCJ6.COMEX@RITHMIC,5084.10,settlement,#e2e2e2,#007171,left,,TRUE
GCJ6.COMEX@RITHMIC,5119.20,value area high,#4e4e4e,#e2e2e2,left,,TRUE
GCJ6.COMEX@RITHMIC,5085.60,value area low,#4e4e4e,#e2e2e2,left,,TRUE
GCJ6.COMEX@RITHMIC,5132.40,day high,#e2e2e2,#4e4e4e,left,,TRUE
GCJ6.COMEX@RITHMIC,5066.00,day low,#e2e2e2,#4e4e4e,left,,TRUE
GCJ6.COMEX@RITHMIC,5114.98,EMA 1h,#4e4e4e,#caca00,left,,TRUE
GCJ6.COMEX@RITHMIC,5105.17,vwap,#e2e2e2,#0c3299,left,,TRUE
