Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
MNQH6.CME@RITHMIC,0.00,ORB high,#e2e2e2,#007171,left,,TRUE
MNQH6.CME@RITHMIC,0.00,ORB low,#e2e2e2,#007171,left,,TRUE
MNQH6.CME@RITHMIC,24416.00,midnight,#e2e2e2,#007171,left,,TRUE
MNQH6.CME@RITHMIC,24425.25,settlement,#e2e2e2,#007171,left,,TRUE
MNQH6.CME@RITHMIC,24606.00,VA high,#4e4e4e,#e2e2e2,left,,TRUE
MNQH6.CME@RITHMIC,24364.00,VA low,#4e4e4e,#e2e2e2,left,,TRUE
MNQH6.CME@RITHMIC,24783.75,day high,#e2e2e2,#4e4e4e,left,,TRUE
MNQH6.CME@RITHMIC,24239.75,day low,#e2e2e2,#4e4e4e,left,,TRUE
MNQH6.CME@RITHMIC,6641.00,EMA 1h,#4e4e4e,#caca00,left,,TRUE
MNQH6.CME@RITHMIC,24503.27,vwap,#e2e2e2,#0c3299,left,,TRUE
MNQH6.CME@RITHMIC,26000.00,W VA high,#e2e2e2,#710000,left,,TRUE
MNQH6.CME@RITHMIC,25040.00,W VA low,#e2e2e2,#710000,left,,TRUE
MNQH6.CME@RITHMIC,25874.00,W POC,#e2e2e2,#710000,left,,TRUE
MNQH6.CME@RITHMIC,25169.00,prev high,#4e4e4e,#808080,left,,TRUE
MNQH6.CME@RITHMIC,24407.25,prev low,#4e4e4e,#808080,left,,TRUE
