Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQH6.CME@RITHMIC,0.00,ORB high,#e2e2e2,#007171,left,,TRUE
NQH6.CME@RITHMIC,0.00,ORB low,#e2e2e2,#007171,left,,TRUE
NQH6.CME@RITHMIC,25019.75,midnight,#e2e2e2,#007171,left,,TRUE
NQH6.CME@RITHMIC,25010.50,settlement,#e2e2e2,#007171,left,,TRUE
NQH6.CME@RITHMIC,25140.00,VA high,#4e4e4e,#e2e2e2,left,,TRUE
NQH6.CME@RITHMIC,24864.00,VA low,#4e4e4e,#e2e2e2,left,,TRUE
NQH6.CME@RITHMIC,25141.50,day high,#e2e2e2,#4e4e4e,left,,TRUE
NQH6.CME@RITHMIC,24651.25,day low,#e2e2e2,#4e4e4e,left,,TRUE
NQH6.CME@RITHMIC,24971.76,EMA 1h,#4e4e4e,#caca00,left,,TRUE
NQH6.CME@RITHMIC,24946.34,vwap,#e2e2e2,#0c3299,left,,TRUE
NQH6.CME@RITHMIC,25162.00,W VA high,#e2e2e2,#710000,left,,TRUE
NQH6.CME@RITHMIC,24780.00,W VA low,#e2e2e2,#710000,left,,TRUE
NQH6.CME@RITHMIC,24976.00,W POC,#e2e2e2,#710000,left,,TRUE
NQH6.CME@RITHMIC,25250.00,prev high,#4e4e4e,#808080,left,,TRUE
NQH6.CME@RITHMIC,24772.50,prev low,#4e4e4e,#808080,left,,TRUE
