Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
RTYH6.CME@RITHMIC,2511.80,opening range high,#e2e2e2,#007171,left,,TRUE
RTYH6.CME@RITHMIC,2495.70,opening range low,#e2e2e2,#007171,left,,TRUE
RTYH6.CME@RITHMIC,2539.70,midnight open,#e2e2e2,#007171,left,,TRUE
RTYH6.CME@RITHMIC,2540.20,settlement,#e2e2e2,#007171,left,,TRUE
RTYH6.CME@RITHMIC,2511.20,value area high,#4e4e4e,#e2e2e2,left,,TRUE
RTYH6.CME@RITHMIC,2491.20,value area low,#4e4e4e,#e2e2e2,left,,TRUE
RTYH6.CME@RITHMIC,2539.80,day high,#e2e2e2,#4e4e4e,left,,TRUE
RTYH6.CME@RITHMIC,2476.50,day low,#e2e2e2,#4e4e4e,left,,TRUE
RTYH6.CME@RITHMIC,2497.55,EMA 1h,#4e4e4e,#caca00,left,,TRUE
RTYH6.CME@RITHMIC,2501.13,vwap,#e2e2e2,#0c3299,left,,TRUE
